"filename", "language", "TOML", "Markdown", "Rust", "Slang", "comment", "blank", "total"
"/home/andrew-peterson/code/laniusc/shaders/lexer/utils.slang", "Slang", 0, 0, 0, 16, -12, 4, 8
"/home/andrew-peterson/code/laniusc/shaders/parser/brackets_match.slang", "Slang", 0, 0, 0, 77, 14, 16, 107
"/home/andrew-peterson/code/laniusc/shaders/parser/llp_pairs.slang", "Slang", 0, 0, 0, 37, 0, 7, 44
"/home/andrew-peterson/code/laniusc/shaders/parser/pack_varlen.slang", "Slang", 0, 0, 0, 80, 12, 18, 110
"/home/andrew-peterson/code/laniusc/shaders/reminders.md", "Markdown", 0, -23, 0, 0, 0, 0, -23
"/home/andrew-peterson/code/laniusc/src/bin/fuzz_lex.rs", "Rust", 0, 0, -92, 0, -3, -12, -107
"/home/andrew-peterson/code/laniusc/src/bin/gen_lex_tables.rs", "Rust", 0, 0, 56, 0, 5, 11, 72
"/home/andrew-peterson/code/laniusc/src/bin/gen_parse_tables.rs", "Rust", 0, 0, 91, 0, 25, 15, 131
"/home/andrew-peterson/code/laniusc/src/bin/gen_tables.rs", "Rust", 0, 0, -56, 0, -5, -11, -72
"/home/andrew-peterson/code/laniusc/src/bin/parse_demo.rs", "Rust", 0, 0, 117, 0, 3, 17, 137
"/home/andrew-peterson/code/laniusc/src/bin/perf_one.rs", "Rust", 0, 0, -46, 0, -10, -11, -67
"/home/andrew-peterson/code/laniusc/src/bin/recount_compact.rs", "Rust", 0, 0, 20, 0, 2, 5, 27
"/home/andrew-peterson/code/laniusc/src/dev/generator.rs", "Rust", 0, 0, 116, 0, 18, 16, 150
"/home/andrew-peterson/code/laniusc/src/dev/mod.rs", "Rust", 0, 0, 1, 0, 0, 1, 2
"/home/andrew-peterson/code/laniusc/src/gpu/buffers.rs", "Rust", 0, 0, 125, 0, 15, 13, 153
"/home/andrew-peterson/code/laniusc/src/gpu/debug.rs", "Rust", 0, 0, 50, 0, 8, 8, 66
"/home/andrew-peterson/code/laniusc/src/gpu/device.rs", "Rust", 0, 0, 65, 0, 4, 14, 83
"/home/andrew-peterson/code/laniusc/src/gpu/mod.rs", "Rust", 0, 0, 5, 0, 1, 2, 8
"/home/andrew-peterson/code/laniusc/src/gpu/passes_core.rs", "Rust", 0, 0, 291, 0, 4, 35, 330
"/home/andrew-peterson/code/laniusc/src/gpu/timer.rs", "Rust", 0, 0, 101, 0, 9, 14, 124
