Date : 2025-08-17 15:20:01
Directory : /home/andrew-peterson/code/laniusc
Total : 87 files,  10679 codes, 706 comments, 1593 blanks, all 12978 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/util.rs                               | Rust     |         50 |          6 |         12 |         68 |
| /home/andrew-peterson/code/laniusc/src/lexer/mod.rs                                    | Rust     |          3 |          1 |          1 |          5 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/build.rs                           | Rust     |        157 |         11 |         25 |        193 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/compact.rs                         | Rust     |         59 |         10 |         12 |         81 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/dfa.rs                             | Rust     |        269 |         19 |         35 |        323 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/io.rs                              | Rust     |        186 |         17 |         27 |        230 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/mod.rs                             | Rust     |         15 |          4 |          3 |         22 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/tokens.rs                          | Rust     |         49 |         10 |          9 |         68 |
| /home/andrew-peterson/code/laniusc/src/lib.rs                                          | Rust     |          6 |          0 |          1 |          7 |
| /home/andrew-peterson/code/laniusc/src/main.rs                                         | Rust     |         20 |          2 |          4 |         26 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/buffers.rs                           | Rust     |        181 |         18 |         32 |        231 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/debug.rs                             | Rust     |         17 |          6 |          6 |         29 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/driver.rs                            | Rust     |        296 |         27 |         36 |        359 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/mod.rs                               | Rust     |          5 |          1 |          2 |          8 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/brackets_match.rs             | Rust     |         88 |          2 |         10 |        100 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/llp_pairs.rs                  | Rust     |         61 |          0 |         10 |         71 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/mod.rs                        | Rust     |          6 |          2 |          2 |         10 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/pack_varlen.rs                | Rust     |         97 |          1 |         12 |        110 |
| /home/andrew-peterson/code/laniusc/src/parser/mod.rs                                   | Rust     |          2 |          0 |          1 |          3 |
| /home/andrew-peterson/code/laniusc/src/parser/tables.rs                                | Rust     |        342 |         56 |         47 |        445 |
| /home/andrew-peterson/code/laniusc/src/reflection.rs                                   | Rust     |        333 |         19 |         30 |        382 |
| /home/andrew-peterson/code/laniusc/src/type_checker/mod.rs                             | Rust     |          0 |          0 |          1 |          1 |
| /home/andrew-peterson/code/laniusc/tests/size_sweep.rs                                 | Rust     |        154 |         11 |         17 |        182 |
| Total                                                                                  |          |     10,679 |        706 |      1,593 |     12,978 |
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
